INDEX  = 0
NAME  =  inside
BEGIN
0 1 1
1 1 1
2 2 2
3 3 3
4 4 4
5 6 6
6 8 8
7 8 8
8 20 20
9 20 20
10 20 20
11 8 8
12 8 8
13 10 10
END
INDEX  = 1
NAME  =  city
BEGIN
0 1 1
1 1 1
2 2 2
3 3 3
4 4 4
5 6 6
6 8 8
7 8 8
8 20 20
9 20 20
10 20 20
11 8 8
12 8 8
13 10 10
END
INDEX  = 2
NAME  =  field
BEGIN
0 1 1
1 1 1
2 2 2
3 3 3
4 4 4
5 6 6
6 8 8
7 8 8
8 20 20
9 20 20
10 20 20
11 8 8
12 8 8
13 10 10
END
INDEX  = 3
NAME  =  forest
BEGIN
0 1 1
1 1 1
2 2 2
3 3 3
4 4 4
5 6 6
6 8 8
7 8 8
8 20 20
9 20 20
10 20 20
11 8 8
12 8 8
13 10 10
END
INDEX  = 4
NAME  =  hills
BEGIN
0 1 1
1 1 1
2 2 2
3 3 3
4 4 4
5 6 6
6 8 8
7 8 8
8 20 20
9 20 20
10 20 20
11 8 8
12 8 8
13 10 10
END
INDEX  = 5
NAME  =  mountain
BEGIN
0 1 1
1 1 1
2 2 2
3 3 3
4 4 4
5 6 6
6 8 8
7 8 8
8 20 20
9 20 20
10 20 20
11 8 8
12 8 8
13 10 10
END
INDEX  = 6
NAME  =  desert
BEGIN
0 1 1
1 1 1
2 2 2
3 3 3
4 4 4
5 6 6
6 8 8
7 8 8
8 20 20
9 20 20
10 20 20
11 8 8
12 8 8
13 10 10
END
INDEX  = 7
NAME  =  swamp
BEGIN
0 1 1
1 1 1
2 2 2
3 3 3
4 4 4
5 6 6
6 8 8
7 8 8
8 20 20
9 20 20
10 20 20
11 8 8
12 8 8
13 10 10
END
INDEX  = 8
NAME  =  water swim
BEGIN
0 1 20
1 1 20
2 2 20
3 3 20
4 4 20
5 6 20
6 8 20
7 8 20
8 20 1
9 20 2
10 20 3
11 8 20
12 8 20
13 10 20
END
INDEX  = 9
NAME  =  water sail
BEGIN
0 1 20
1 1 20
2 2 20
3 3 20
4 4 20
5 6 20
6 8 20
7 8 20
8 20 2
9 20 1
10 20 3
11 8 20
12 8 20
13 10 20
END
INDEX  = 10
NAME  =  under water
BEGIN
0 1 20
1 1 20
2 2 20
3 3 20
4 4 20
5 6 20
6 8 20
7 8 20
8 20 2
9 20 3
10 20 1
11 8 20
12 8 20
13 10 20
END
INDEX  = 11
NAME  =  snow
BEGIN
0 1 1
1 1 1
2 2 2
3 3 3
4 4 4
5 6 6
6 8 8
7 8 8
8 20 20
9 20 20
10 20 20
11 8 8
12 8 8
13 10 10
END
INDEX  = 12
NAME  =  slush
BEGIN
0 1 1
1 1 1
2 2 2
3 3 3
4 4 4
5 6 6
6 8 8
7 8 8
8 20 20
9 20 20
10 20 20
11 8 8
12 8 8
13 10 10
END
INDEX  = 13
NAME  =  ice
BEGIN
0 1 1
1 1 1
2 2 2
3 3 3
4 4 4
5 6 6
6 8 8
7 8 8
8 20 20
9 20 20
10 20 20
11 8 8
12 8 8
13 10 10
END
