index  = 0
name  =  theory
realm  = 1
sphere  = 0
minpos  = 0
mana  = 0
turns  = 0
targets  = 0
mediums  = 0
check  = 0
offensive  = 0
fumble  = 0
race human  = 0
race elf  = 0
race dwarf  = 0
race halfling  = 0
race gnome  = 0
race half-orc  = 0
race half-ogre  = 0
race half-elf  = 0
race brownie  = 0
race groll  = 0
race darkelf  = 0
attack clothes  =  90  0 50
attack sleather  =  90  0 50
attack hleather  =  90  0 50
attack chain  =  90  0 50
attack plate  =  90  0 50  
index  = 1
name  =  divine sphere
realm  = 1
sphere  = 0
minpos  = 0
mana  = 0
turns  = 0
targets  = 0
mediums  = 0
check  = 0
offensive  = 0
fumble  = 0
race human  = 0
race elf  = 0
race dwarf  = 0
race halfling  = 0
race gnome  = 0
race half-orc  = 0
race half-ogre  = 0
race half-elf  = 0
race brownie  = 0
race groll  = 0
race darkelf  = 0
attack clothes  =  90  0 50
attack sleather  =  90  0 50
attack hleather  =  90  0 50
attack chain  =  90  0 50
attack plate  =  90  0 50  
index  = 2
name  =  protection sphere
realm  = 1
sphere  = 0
minpos  = 0
mana  = 0
turns  = 0
targets  = 0
mediums  = 0
check  = 0
offensive  = 0
fumble  = 0
race human  = 0
race elf  = 0
race dwarf  = 0
race halfling  = 0
race gnome  = 0
race half-orc  = 0
race half-ogre  = 0
race half-elf  = 0
race brownie  = 0
race groll  = 0
race darkelf  = 0
attack clothes  =  90  0 50
attack sleather  =  90  0 50
attack hleather  =  90  0 50
attack chain  =  90  0 50
attack plate  =  90  0 50  
index  = 3
name  =  detection sphere
realm  = 1
sphere  = 0
minpos  = 0
mana  = 0
turns  = 0
targets  = 0
mediums  = 0
check  = 0
offensive  = 0
fumble  = 0
race human  = 0
race elf  = 0
race dwarf  = 0
race halfling  = 0
race gnome  = 0
race half-orc  = 0
race half-ogre  = 0
race half-elf  = 0
race brownie  = 0
race groll  = 0
race darkelf  = 0
attack clothes  =  90  0 50
attack sleather  =  90  0 50
attack hleather  =  90  0 50
attack chain  =  90  0 50
attack plate  =  90  0 50  
index  = 4
name  =  summoning sphere
realm  = 1
sphere  = 0
minpos  = 0
mana  = 0
turns  = 0
targets  = 0
mediums  = 0
check  = 0
offensive  = 0
fumble  = 0
race human  = 0
race elf  = 0
race dwarf  = 0
race halfling  = 0
race gnome  = 0
race half-orc  = 0
race half-ogre  = 0
race half-elf  = 0
race brownie  = 0
race groll  = 0
race darkelf  = 0
attack clothes  =  90  0 50
attack sleather  =  90  0 50
attack hleather  =  90  0 50
attack chain  =  90  0 50
attack plate  =  90  0 50  
index  = 5
name  =  creation sphere
realm  = 1
sphere  = 0
minpos  = 0
mana  = 0
turns  = 0
targets  = 0
mediums  = 0
check  = 0
offensive  = 0
fumble  = 0
race human  = 0
race elf  = 0
race dwarf  = 0
race halfling  = 0
race gnome  = 0
race half-orc  = 0
race half-ogre  = 0
race half-elf  = 0
race brownie  = 0
race groll  = 0
race darkelf  = 0
attack clothes  =  90  0 50
attack sleather  =  90  0 50
attack hleather  =  90  0 50
attack chain  =  90  0 50
attack plate  =  90  0 50  
index  = 6
name  =  mind sphere
realm  = 1
sphere  = 0
minpos  = 0
mana  = 0
turns  = 0
targets  = 0
mediums  = 0
check  = 0
offensive  = 0
fumble  = 0
race human  = 0
race elf  = 0
race dwarf  = 0
race halfling  = 0
race gnome  = 0
race half-orc  = 0
race half-ogre  = 0
race half-elf  = 0
race brownie  = 0
race groll  = 0
race darkelf  = 0
attack clothes  =  90  0 50
attack sleather  =  90  0 50
attack hleather  =  90  0 50
attack chain  =  90  0 50
attack plate  =  90  0 50  
index  = 7
name  =  fire sphere
realm  = 1
sphere  = 0
minpos  = 0
mana  = 0
turns  = 0
targets  = 0
mediums  = 0
check  = 0
offensive  = 0
fumble  = 0
race human  = 0
race elf  = 0
race dwarf  = 0
race halfling  = 0
race gnome  = 0
race half-orc  = 0
race half-ogre  = 0
race half-elf  = 0
race brownie  = 0
race groll  = 0
race darkelf  = 0
attack clothes  =  90  0 50
attack sleather  =  90  0 50
attack hleather  =  90  0 50
attack chain  =  90  0 50
attack plate  =  90  0 50  
index  = 8
name  =  frost sphere
realm  = 1
sphere  = 0
minpos  = 0
mana  = 0
turns  = 0
targets  = 0
mediums  = 0
check  = 0
offensive  = 0
fumble  = 0
race human  = 0
race elf  = 0
race dwarf  = 0
race halfling  = 0
race gnome  = 0
race half-orc  = 0
race half-ogre  = 0
race half-elf  = 0
race brownie  = 0
race groll  = 0
race darkelf  = 0
attack clothes  =  90  0 50
attack sleather  =  90  0 50
attack hleather  =  90  0 50
attack chain  =  90  0 50
attack plate  =  90  0 50  
index  = 9
name  =  electricity sphere
realm  = 1
sphere  = 0
minpos  = 0
mana  = 0
turns  = 0
targets  = 0
mediums  = 0
check  = 0
offensive  = 0
fumble  = 0
race human  = 0
race elf  = 0
race dwarf  = 0
race halfling  = 0
race gnome  = 0
race half-orc  = 0
race half-ogre  = 0
race half-elf  = 0
race brownie  = 0
race groll  = 0
race darkelf  = 0
attack clothes  =  90  0 50
attack sleather  =  90  0 50
attack hleather  =  90  0 50
attack chain  =  90  0 50
attack plate  =  90  0 50  
index  = 10
name  =  poison sphere
realm  = 1
sphere  = 0
minpos  = 0
mana  = 0
turns  = 0
targets  = 0
mediums  = 0
check  = 0
offensive  = 0
fumble  = 0
race human  = 0
race elf  = 0
race dwarf  = 0
race halfling  = 0
race gnome  = 0
race half-orc  = 0
race half-ogre  = 0
race half-elf  = 0
race brownie  = 0
race groll  = 0
race darkelf  = 0
attack clothes  =  90  0 50
attack sleather  =  90  0 50
attack hleather  =  90  0 50
attack chain  =  90  0 50
attack plate  =  90  0 50  
index  = 11
name  =  acid sphere
realm  = 1
sphere  = 0
minpos  = 0
mana  = 0
turns  = 0
targets  = 0
mediums  = 0
check  = 0
offensive  = 0
fumble  = 0
race human  = 0
race elf  = 0
race dwarf  = 0
race halfling  = 0
race gnome  = 0
race half-orc  = 0
race half-ogre  = 0
race half-elf  = 0
race brownie  = 0
race groll  = 0
race darkelf  = 0
attack clothes  =  90  0 50
attack sleather  =  90  0 50
attack hleather  =  90  0 50
attack chain  =  90  0 50
attack plate  =  90  0 50  
index  = 12
name  =  call lightning
acttype  = 11
tochar  =  You raise you arms to the heavens and shout, 'Sholua electra!'...
tovict  =  $1n raises $1s arms to the heavens and shouts, 'Sholua electra!'...
torest  =  $1n raises $1s arms to the heavens and shouts, 'Sholua electra!'...
toself  =  You raise you arms to the heavens and shout, 'Sholua electra!'...
toselfroom  =  $1n raises $1s arms to the heavens and shouts, 'Sholua electra!'...
realm  = 0
sphere  = 9
func  =  call_lightning@spells
minpos  = 8
mana  = 30
turns  = 8
targets  = 68
mediums  = 61
check  = 3
offensive  = 1
fumble  = 1
shield  = 2
attack clothes  =  70 16  4
attack sleather  =  53 17  5
attack hleather  =  41 18  6
attack chain  =  42 19  7
attack plate  =  45 20  8
race human  = 0
race elf  = 0
race dwarf  = 0
race halfling  = 0
race gnome  = 0
race half-orc  = -1
race half-ogre  = -1
race half-elf  = 0
race brownie  = 1
race groll  = -1
race darkelf  = 1
restrict level  = 30
profession mystic  = 0
index  = 157
name  =  refit
acttype  = 11
tochar  =  You grasp the $3n and utter, 'slarquveemzpe'
torest  =  $1n grasps $3n and utters, 'slarquveemzpe'
realm  = 0
sphere  = 5
func  =  refit@spells
minpos  = 8
mana  = 50
turns  = 4
targets  = 134
mediums  = 17
check  = 2
offensive  = 0
fumble  = 0
race human  = 0
race elf  = 0
race dwarf  = -1
race halfling  = 0
race gnome  = 0
race half-orc  = -1
race half-ogre  = -2
race half-elf  = 0
race brownie  = 1
race groll  = -3
race darkelf  = 1
index  = 13
name  =  bless
acttype  = 11
tochar  =  You lay hands on $3n and pray for a blessing from the gods.
tovict  =  $1n lays hands on you and prays for a blessing.
torest  =  $1n touches $3n and begins to pray.
toself  =  You beseech the gods for a blessing.
toselfroom  =  $1n implores the gods for a blessing.
realm  = 1
sphere  = 1
func  =  bless@spells
minpos  = 8
mana  = 20
turns  = 4
targets  = 8260
mediums  = 25
check  = 1
offensive  = 0
fumble  = 0
race human  = 0
race elf  = 0
race dwarf  = 0
race halfling  = -1
race gnome  = -1
race half-orc  = 0
race half-ogre  = 0
race half-elf  = 0
race brownie  = 0
race groll  = -1
race darkelf  = -1
restrict level  = 12
profession paladin  = 0
profession priest  = 0
profession mystic  = 2
index  = 14
name  =  curse
acttype  = 11
tochar  =  You call upon the dark spirits to curse $3n...
tovict  =  "$1n's words make you cringe..."
torest  =  Your blood is chilled as $1n utters words of dark power...
toself  =  You call upon yourself the wrath of the dark powers...
toselfroom  =  $1n calls the powers of darkness upon $1mself
realm  = 1
sphere  = 1
func  =  curse@spells
minpos  = 8
mana  = 20
turns  = 4
targets  = 1222
mediums  = 17
check  = 2
offensive  = 1
fumble  = 0
race human  = 0
race elf  = 0
race dwarf  = 0
race halfling  = -1
race gnome  = 0
race half-orc  = 0
race half-ogre  = 0
race half-elf  = 0
race brownie  = 0
race groll  = -1
race darkelf  = -1
restrict level  = 25
profession knight  = 0
profession mystic  = 0
profession necromancer  = 5
index  = 15
name  =  remove curse
acttype  = 11
tochar  =  You implore the gods to lift the curse on $3n...
tovict  =  $1n implores the gods to lift the curse on you...
torest  =  $1n implores the gods to lift the curse on $3n...
toself  =  You plead for the gods to lift your curse...
toselfroom  =  $1n pleads the gods to lift $1s curse...
realm  = 1
sphere  = 1
func  =  spl_rem_curse@spells
minpos  = 8
mana  = 20
turns  = 4
targets  = 196
mediums  = 17
check  = 2
offensive  = 0
fumble  = 0
race human  = 0
race elf  = 0
race dwarf  = 0
race halfling  = 0
