index  = 0
name  =  theory
sphere  = 0
auto train  = 0
hands  = 1
type  = -1
speed  = 0
race human  = 0
race elf  = 0
race dwarf  = 0
race halfling  = 0
race gnome  = 0
race half-orc  = 0
race half-ogre  = 0
race half-elf  = 0
race brownie  = 0
race groll  = 0
race darkelf  = 0
fumble  = 2
attack clothes  =  90  0 50
attack sleather  =  90  0 50
attack hleather  =  90  0 50
attack chain  =  90  0 50
attack plate  =  90  0 50  
index  = 1
name  =  category axe hammer
sphere  = 0
auto train  = 0
hands  = 1
type  = -1
speed  = 0
race human  = 0
race elf  = 0
race dwarf  = 0
race halfling  = 0
race gnome  = 0
race half-orc  = 0
race half-ogre  = 0
race half-elf  = 0
race brownie  = 0
race groll  = 0
race darkelf  = 0
fumble  = 2
attack clothes  =  90  0 50
attack sleather  =  90  0 50
attack hleather  =  90  0 50
attack chain  =  90  0 50
attack plate  =  90  0 50  
index  = 2
name  =  category sword
sphere  = 0
auto train  = 0
hands  = 1
type  = -1
speed  = 0
race human  = 0
race elf  = 0
race dwarf  = 0
race halfling  = 0
race gnome  = 0
race half-orc  = 0
race half-ogre  = 0
race half-elf  = 0
race brownie  = 0
race groll  = 0
race darkelf  = 0
fumble  = 2
attack clothes  =  90  0 50
attack sleather  =  90  0 50
attack hleather  =  90  0 50
attack chain  =  90  0 50
attack plate  =  90  0 50  
index  = 3
name  =  category club mace
sphere  = 0
auto train  = 0
hands  = 1
type  = -1
speed  = 0
race human  = 0
race elf  = 0
race dwarf  = 0
race halfling  = 0
race gnome  = 0
race half-orc  = 0
race half-ogre  = 0
race half-elf  = 0
race brownie  = 0
race groll  = 0
race darkelf  = 0
fumble  = 2
attack clothes  =  90  0 50
attack sleather  =  90  0 50
attack hleather  =  90  0 50
attack chain  =  90  0 50
attack plate  =  90  0 50  
index  = 4
name  =  category polearm
sphere  = 0
auto train  = 0
hands  = 1
type  = -1
speed  = 0
race human  = 0
race elf  = 0
race dwarf  = 0
race halfling  = 0
race gnome  = 0
race half-orc  = 0
race half-ogre  = 0
race half-elf  = 0
race brownie  = 0
race groll  = 0
race darkelf  = 0
fumble  = 2
attack clothes  =  90  0 50
attack sleather  =  90  0 50
attack hleather  =  90  0 50
attack chain  =  90  0 50
attack plate  =  90  0 50  
index  = 5
name  =  category natural
sphere  = 0
auto train  = 0
hands  = 1
type  = -1
speed  = 0
race human  = 0
race elf  = 0
race dwarf  = 0
race halfling  = 0
race gnome  = 0
race half-orc  = 0
race half-ogre  = 0
race half-elf  = 0
race brownie  = 0
race groll  = 0
race darkelf  = 0
fumble  = 2
attack clothes  =  90  0 50
attack sleather  =  90  0 50
attack hleather  =  90  0 50
attack chain  =  90  0 50
attack plate  =  90  0 50  
index  = 6
name  =  category special
sphere  = 0
auto train  = 0
hands  = 1
type  = -1
speed  = 0
race human  = 0
race elf  = 0
race dwarf  = 0
race halfling  = 0
race gnome  = 0
race half-orc  = 0
race half-ogre  = 0
race half-elf  = 0
race brownie  = 0
race groll  = 0
race darkelf  = 0
fumble  = 2
attack clothes  =  90  0 50
attack sleather  =  90  0 50
attack hleather  =  90  0 50
attack chain  =  90  0 50
attack plate  =  90  0 50  
index  = 7
name  =  battle axe
sphere  = 1
hands  = 2
type  = 0
shield  = 0
ability  =  2  2  3
speed  = 8
fumble  = 5
race human  = 0
race elf  = 0
race dwarf  = 2
race halfling  = -2
race gnome  = -2
race half-orc  = 1
race half-ogre  = 1
race half-elf  = 0
race brownie  = -3
race groll  = 2
race darkelf  = 0
restrict level  = 22
restrict strength  = 75
profession fighter  = 4
profession knight  = 0
profession ranger  = -2
profession barbarian  = 4
attack clothes  =  61 10  4
attack sleather  =  51  9  5
attack hleather  =  42  8  6
attack chain  =  39  7  7
attack plate  =  38  6  8  
index  = 8
name  =  hand axe
sphere  = 1
hands  = 1
type  = 0
shield  = 0
ability  =  2 2 3
speed  = 5
fumble  = 7
race human  = 0
race elf  = 0
race dwarf  = 2
race halfling  = 0
race gnome  = -1
race half-orc  = 0
race half-ogre  = 0
race half-elf  = 0
race brownie  = -1
race groll  = 0
race darkelf  = 0
profession fighter  = 2
profession knight  = 0
profession paladin  = 0
profession ranger  = -2
profession assassin  = -3
profession barbarian  = 3
attack clothes  =  60  9  5
attack sleather  =  58  8  6
attack hleather  =  51  7  7
attack chain  =  52  6  8
attack plate  =  55  5  9  
index  = 9
name  =  war mattock
sphere  = 1
hands  = 2
type  = 1
shield  = 0
ability  =  2 2 3
speed  = 8
fumble  = 5
race human  = 0
race elf  = 0
race dwarf  = 1
race halfling  = -2
race gnome  = -2
race half-orc  = 0
race half-ogre  = 1
race half-elf  = 0
race brownie  = -3
race groll  = 0
race darkelf  = 0
restrict level  = 25
restrict strength  = 75
profession fighter  = 0
profession paladin  = 0
profession knight  = -1
profession barbarian  = 2
attack clothes  =  61 10  4
attack sleather  =  51  9  5
attack hleather  =  42  8  6
attack chain  =  39  7  7
attack plate  =  38  6  8  
index  = 76
name  =  adze mattock
sphere  = 1
hands  = 1
type  = 0
shield  = 0
speed  = 5
fumble  = 7
race human  = 0
race elf  = 0
race dwarf  = 0
race halfling  = 0
race gnome  = 0
race half-orc  = 0
race half-ogre  = 0
race half-elf  = 0
race brownie  = 0
race groll  = 0
race darkelf  = 0
restrict level  = 14
profession fighter  = 1
profession paladin  = 0
profession knight  = -1
attack clothes  =  60  9  5
attack sleather  =  58  8  6
attack hleather  =  51  7  7
attack chain  =  52  6  8
attack plate  =  55  5  9  
index  = 54
name  =  maul
sphere  = 1
hands  = 2
type  = 1
shield  = 0
speed  = 8
fumble  = 5
race human  = 0
race elf  = 0
race dwarf  = 1
race halfling  = -2
race gnome  = -2
race half-orc  = 0
race half-ogre  = 1
race half-elf  = 0
race brownie  = -3
race groll  = 0
race darkelf  = 0
restrict level  = 24
restrict strength  = 90
profession fighter  = 0
profession knight  = -1
profession paladin  = -2
profession priest  = -2
profession barbarian  = 2
attack clothes  =  61 10  4
attack sleather  =  51  9  5
attack hleather  =  42  8  6
attack chain  =  39  7  7
attack plate  =  38  6  8  
index  = 10
name  =  war hammer
sphere  = 1
hands  = 1
type  = 1
shield  = 0
ability  =  2 2 3
speed  = 5
fumble  = 7
race human  = 0
race elf  = 0
race dwarf  = 1
race halfling  = 0
race gnome  = -1
race half-orc  = 0
race half-ogre  = 0
race half-elf  = 0
race brownie  = -1
race groll  = 0
race darkelf  = 0
restrict level  = 10
restrict strength  = 90
profession paladin  = 2
profession fighter  = 1
profession priest  = 0
profession knight  = 0
profession barbarian  = 2
attack clothes  =  60  9  5
attack sleather  =  58  8  6
attack hleather  =  51  7  7
attack chain  =  52  6  8
attack plate  =  55  5  9  
index  = 99
name  =  brass knuckles
sphere  = 1
hands  = 1
type  = 1
shield  = 0
ability  =  2 2 3
speed  = 1
fumble  = 1
race human  = 0
race elf  = 0
race dwarf  = 0
race halfling  = 0
race gnome  = 0
race half-orc  = 0
race half-ogre  = 0
race half-elf  = 0
race brownie  = 0
race groll  = 0
race darkelf  = 0
restrict level  = 12
profession assassin  = 2
profession fighter  = 0
profession thief  = -1
profession barbarian  = 1
attack clothes  =  43  2 13
attack sleather  =  64  2 14
attack hleather  =  61  1 15
attack chain  =  74  0 16
attack plate  =  100 0 17  
index  = 11
name  =  great sword
sphere  = 2
hands  = 2
type  = 0
shield  = 0
ability  =  2 2 3
speed  = 8
fumble  = 5
race human  = 0
race elf  = 0
race dwarf  = -2
race halfling  = -2
race gnome  = -2
race half-orc  = 0
race half-ogre  = 2
race half-elf  = 0
race brownie  = -3
race groll  = 4
race darkelf  = 0
restrict level  = 25
restrict strength  = 75
profession knight  = 2
profession paladin  = 2
profession fighter  = 0
profession barbarian  = 3
attack clothes  =  61 10  4
attack sleather  =  51  9  5
attack hleather  =  42  8  6
attack chain  =  39  7  7
attack plate  =  38  6  8  
index  = 53
name  =  claymore
sphere  = 2
hands  = 2
type  = 0
shield  = 0
speed  = 8
fumble  = 5
race human  = 0
race elf  = 0
race dwarf  = -2
race halfling  = -2
race gnome  = -2
race half-orc  = 0
race half-ogre  = 2
race half-elf  = 0
race brownie  = -3
race groll  = 0
race darkelf  = 0
restrict level  = 45
profession fighter  = 2
profession knight  = 1
profession paladin  = 1
profession barbarian  = 3
attack clothes  =  61 10  4
attack sleather  =  51  9  5
attack hleather  =  42  8  6
attack chain  =  39  7  7
attack plate  =  38  6  8 
index  = 17
name  =  long sword
sphere  = 2
hands  = 1
type  = 0
shield  = 0
ability  =  2 2 3
speed  = 5
fumble  = 7
race human  = 0
race elf  = 0
race dwarf  = -1
race halfling  = -2
race gnome  = -1
race half-orc  = 0
race half-ogre  = 0
race half-elf  = 0
race brownie  = -2
race groll  = 0
race darkelf  = 1
restrict level  = 20
profession fighter  = 2
profession knight  = 2
profession paladin  = 2
profession ranger  = 2
profession barbarian  = 2
attack clothes  =  60  9  5
attack sleather  =  58  8  6
attack hleather  =  51  7  7
attack chain  =  52  6  8
attack plate  =  55  5  9  
index  = 16
name  =  broad sword
sphere  = 2
hands  = 1
type  = 0
shield  = 0
speed  = 5
fumble  = 7
race human  = 0
race elf  = 0
race dwarf  = -1
race halfling  = -2
race gnome  = -1
race half-orc  = 0
race half-ogre  = 0
race half-elf  = 0
race brownie  = -1
race groll  = 0
race darkelf  = 0
restrict level  = 8
profession fighter  = 3
profession knight  = 2
profession paladin  = 2
profession barbarian  = 2
attack clothes  =  60  9  5
attack sleather  =  58  8  6
attack hleather  =  51  7  7
attack chain  =  52  6  8
attack plate  =  55  5  9  
index  = 18
name  =  rapier
sphere  = 2
hands  = 1
type  = 2
shield  = 0
ability  =  2 2 3
speed  = 5
fumble  = 7
