index  = 0
name  =  theory
sphere  = 0
hands  = 1
type  = -1
speed  = 0
race human  = 0
race elf  = 0
race dwarf  = 0
race halfling  = 0
race gnome  = 0
race half-orc  = 0
race half-ogre  = 0
race half-elf  = 0
race brownie  = 0
race groll  = 0
race darkelf  = 0
fumble  = 2
attack clothes  =  90  0 50
attack sleather  =  90  0 50
attack hleather  =  90  0 50
attack chain  =  90  0 50
attack plate  =  90  0 50  
index  = 1
name  =  category axe hammer
sphere  = 0
hands  = 1
type  = -1
speed  = 0
race human  = 0
race elf  = 0
race dwarf  = 0
race halfling  = 0
race gnome  = 0
race half-orc  = 0
race half-ogre  = 0
race half-elf  = 0
race brownie  = 0
race groll  = 0
race darkelf  = 0
fumble  = 2
attack clothes  =  90  0 50
attack sleather  =  90  0 50
attack hleather  =  90  0 50
attack chain  =  90  0 50
attack plate  =  90  0 50  
index  = 2
name  =  category sword
sphere  = 0
hands  = 1
type  = -1
speed  = 0
race human  = 0
race elf  = 0
race dwarf  = 0
race halfling  = 0
race gnome  = 0
race half-orc  = 0
race half-ogre  = 0
race half-elf  = 0
race brownie  = 0
race groll  = 0
race darkelf  = 0
fumble  = 2
attack clothes  =  90  0 50
attack sleather  =  90  0 50
attack hleather  =  90  0 50
attack chain  =  90  0 50
attack plate  =  90  0 50  
index  = 3
name  =  category club mace
sphere  = 0
hands  = 1
type  = -1
speed  = 0
race human  = 0
race elf  = 0
race dwarf  = 0
race halfling  = 0
race gnome  = 0
race half-orc  = 0
race half-ogre  = 0
race half-elf  = 0
race brownie  = 0
race groll  = 0
race darkelf  = 0
fumble  = 2
attack clothes  =  90  0 50
attack sleather  =  90  0 50
attack hleather  =  90  0 50
attack chain  =  90  0 50
attack plate  =  90  0 50  
index  = 4
name  =  category polearm
sphere  = 0
hands  = 1
type  = -1
speed  = 0
race human  = 0
race elf  = 0
race dwarf  = 0
race halfling  = 0
race gnome  = 0
race half-orc  = 0
race half-ogre  = 0
race half-elf  = 0
race brownie  = 0
race groll  = 0
race darkelf  = 0
fumble  = 2
attack clothes  =  90  0 50
attack sleather  =  90  0 50
attack hleather  =  90  0 50
attack chain  =  90  0 50
attack plate  =  90  0 50  
index  = 5
name  =  category natural
sphere  = 0
hands  = 1
type  = -1
speed  = 0
race human  = 0
race elf  = 0
race dwarf  = 0
race halfling  = 0
race gnome  = 0
race half-orc  = 0
race half-ogre  = 0
race half-elf  = 0
race brownie  = 0
race groll  = 0
race darkelf  = 0
fumble  = 2
attack clothes  =  90  0 50
attack sleather  =  90  0 50
attack hleather  =  90  0 50
attack chain  =  90  0 50
attack plate  =  90  0 50  
index  = 6
name  =  category special
sphere  = 0
hands  = 1
type  = -1
speed  = 0
race human  = 0
race elf  = 0
race dwarf  = 0
race halfling  = 0
race gnome  = 0
race half-orc  = 0
race half-ogre  = 0
race half-elf  = 0
race brownie  = 0
race groll  = 0
race darkelf  = 0
fumble  = 2
attack clothes  =  90  0 50
attack sleather  =  90  0 50
attack hleather  =  90  0 50
attack chain  =  90  0 50
attack plate  =  90  0 50  
index  = 7
name  =  battle axe
sphere  = 1
hands  = 2
type  = 0
shield  = 0
speed  = 8
race human  = 0
race elf  = 0
race dwarf  = 2
race halfling  = -2
race gnome  = -2
race half-orc  = 1
race half-ogre  = 1
race half-elf  = 0
race brownie  = -3
race groll  = 0
race darkelf  = 0
restrict level  = 22
restrict strength  = 75
profession fighter  = 1
profession knight  = 1
profession ranger  = -2
fumble  = 6
attack clothes  =  61 10  4
attack sleather  =  51  9  5
attack hleather  =  42  8  6
attack chain  =  39  7  7
attack plate  =  38  6  8  
index  = 8
name  =  hand axe
sphere  = 1
hands  = 1
type  = 0
shield  = 0
speed  = 4
race human  = 0
race elf  = 0
race dwarf  = 2
race halfling  = 0
race gnome  = -1
race half-orc  = 0
race half-ogre  = 0
race half-elf  = 0
race brownie  = -1
race groll  = 0
race darkelf  = 0
profession fighter  = 2
profession knight  = 2
profession ranger  = -1
profession assassin  = -3
profession necromancer  = 0
fumble  = 4
attack clothes  =  39  5  9
attack sleather  =  48  4 10
attack hleather  =  37  3 11
attack chain  =  43  2 12
attack plate  =  51  1 13  
index  = 9
name  =  war mattock
sphere  = 1
hands  = 2
type  = 1
shield  = 0
speed  = 8
race human  = 0
race elf  = 0
race dwarf  = 1
race halfling  = -2
race gnome  = -2
race half-orc  = 0
race half-ogre  = 1
race half-elf  = 0
race brownie  = -3
race groll  = 0
race darkelf  = 0
restrict level  = 25
restrict strength  = 75
profession fighter  = 1
profession knight  = 2
profession paladin  = 0
fumble  = 6
attack clothes  =  60  9  5
attack sleather  =  58  8  6
attack hleather  =  51  7  7
attack chain  =  52  6  8
attack plate  =  55  5  9  
index  = 72
name  =  hand hammer
sphere  = 1
hands  = 1
type  = 1
shield  = 0
speed  = 4
race human  = 0
race elf  = 0
race dwarf  = 0
race halfling  = 0
race gnome  = 0
race half-orc  = 0
race half-ogre  = 0
race half-elf  = 0
race brownie  = 0
race groll  = 0
race darkelf  = 0
restrict level  = 5
profession fighter  = 0
profession ranger  = 4
profession thief  = -1
profession priest  = -3
profession necromancer  = -2
fumble  = 3
attack clothes  =  40  4 10
attack sleather  =  45  3 11
attack hleather  =  40  2 12
attack chain  =  48  1 13
attack plate  =  58  0 14  
index  = 99
name  =  brass knuckles
sphere  = 1
hands  = 1
type  = 1
shield  = 0
speed  = 2
race human  = 0
race elf  = 0
race dwarf  = 0
race halfling  = 0
race gnome  = 0
race half-orc  = 0
race half-ogre  = 0
race half-elf  = 0
race brownie  = 0
race groll  = 0
race darkelf  = 0
restrict level  = 12
profession fighter  = -1
profession thief  = -1
profession assassin  = -3
profession mystic  = 0
profession necromancer  = -2
fumble  = 0
attack clothes  =  40  2 12
attack sleather  =  61  2 13
attack hleather  =  58  1 14
attack chain  =  70  0 15
attack plate  =  100  0 16  
index  = 52
name  =  great axe
sphere  = 1
hands  = 2
type  = 0
shield  = 0
speed  = 8
race human  = 0
race elf  = 0
race dwarf  = 2
race halfling  = -2
race gnome  = -2
race half-orc  = 1
race half-ogre  = 1
race half-elf  = 0
race brownie  = -3
race groll  = 0
race darkelf  = 0
restrict level  = 50
restrict strength  = 75
profession fighter  = 3
profession knight  = 0
profession paladin  = 0
fumble  = 6
attack clothes  =  60  9  5
attack sleather  =  58  8  6
attack hleather  =  51  7  7
attack chain  =  52  6  8
attack plate  =  55  5  9  
index  = 10
name  =  war hammer
sphere  = 1
hands  = 2
type  = 1
shield  = 0
speed  = 6
race human  = 0
race elf  = 0
race dwarf  = 1
race halfling  = 0
race gnome  = -1
race half-orc  = 0
race half-ogre  = 0
race half-elf  = 0
race brownie  = -1
race groll  = 0
race darkelf  = 0
restrict level  = 10
profession fighter  = 1
profession knight  = 2
profession paladin  = 2
profession priest  = 0
fumble  = 6
attack clothes  =  44  6  8
attack sleather  =  46  5  9
attack hleather  =  40  4 10
attack chain  =  45  3 11
attack plate  =  52  2 12  
index  = 54
name  =  maul
sphere  = 1
hands  = 2
type  = 1
shield  = 0
speed  = 5
race human  = 0
race elf  = 0
race dwarf  = 1
race halfling  = -2
race gnome  = -2
race half-orc  = 0
race half-ogre  = 1
race half-elf  = 0
race brownie  = -3
race groll  = 0
race darkelf  = 0
restrict level  = 24
profession fighter  = 0
profession knight  = 0
profession paladin  = 0
profession priest  = -3
profession necromancer  = -2
fumble  = 4
attack clothes  =  46  5  9
attack sleather  =  50  4 10
attack hleather  =  45  3 11
attack chain  =  52  2 12
attack plate  =  61  1 13  
index  = 66
name  =  lucern hammer
sphere  = 1
hands  = 2
type  = 1
shield  = 0
speed  = 4
race human  = 0
race elf  = 0
race dwarf  = 0
race halfling  = 0
race gnome  = 0
race half-orc  = 2
race half-ogre  = 0
race half-elf  = 0
race brownie  = 0
race groll  = 2
race darkelf  = 0
restrict level  = 100
profession fighter  = 0
fumble  = 1
attack clothes  =  64 10  4
attack sleather  =  60  9  5
attack hleather  =  52  8  6
attack chain  =  51  7  7
attack plate  =  52  6  8  
index  = 71
name  =  jeddart axe
sphere  = 1
hands  = 2
type  = 0
shield  = 0
speed  = 5
race human  = 0
race elf  = 0
race dwarf  = 0
race halfling  = 0
race gnome  = 0
race half-orc  = 0
race half-ogre  = 0
race half-elf  = 0
race brownie  = 0
race groll  = 0
race darkelf  = 0
profession fighter  = 0
fumble  = 5
attack clothes  =  57  9  5
attack sleather  =  54  8  6
attack hleather  =  46  7  7
attack chain  =  46  6  8
attack plate  =  42  5  9  
index  = 82
name  =  bec de corbin
sphere  = 1
hands  = 1
type  = 0
shield  = 0
speed  = 5
race human  = 0
race elf  = 0
race dwarf  = 0
race halfling  = 0
race gnome  = 0
race half-orc  = 0
race half-ogre  = 0
race half-elf  = 0
race brownie  = 0
race groll  = 0
race darkelf  = 0
restrict level  = 35
profession knight  = -4
profession paladin  = -4
fumble  = 4
attack clothes  =  61  8  6
attack sleather  =  62  7  7
attack hleather  =  56  6  8
attack chain  =  60  5  9
attack plate  =  65  4 10  
index  = 84
name  =  war axe
sphere  = 1
hands  = 1
type  = 0
shield  = 0
speed  = 5
race human  = 0
race elf  = 0
race dwarf  = 0
race halfling  = 0
race gnome  = 0
race half-orc  = 0
race half-ogre  = 0
race half-elf  = 0
race brownie  = 0
race groll  = 0
race darkelf  = 0
restrict level  = 20
profession knight  = -2
profession paladin  = -2
profession ranger  = 2
profession thief  = -1
profession assassin  = -3
profession priest  = -3
fumble  = 5
attack clothes  =  54  8  6
attack sleather  =  53  7  7
attack hleather  =  46  6  8
attack chain  =  48  5  9
attack plate  =  53  4 10  
index  = 90
name  =  fauchard fork
sphere  = 1
hands  = 1
type  = 2
shield  = 0
